Event Count,location,Event duration,Latitude,Longitude,Cluster
2513,"{'latitude': 20.4661418, 'longitude': 82.9202177}",812.896,20.4661418,82.9202177,1
2514,"{'latitude': 21.6300627, 'longitude': 87.4577496}",504.083,21.6300627,87.4577496,0
2515,"{'latitude': 20.997608, 'longitude': 83.0612448}",1100.48,20.997608,83.0612448,1
2516,"{'latitude': 22.1809569, 'longitude': 86.6467887}",324.668,22.1809569,86.6467887,0
2517,"{'latitude': 20.698667, 'longitude': 84.1325522}",704.0,20.698667,84.1325522,1
2518,"{'latitude': 19.495161666666668, 'longitude': 83.03412833333333}",444.333,19.495161666666668,83.03412833333333,2
2519,"{'latitude': 21.8643349, 'longitude': 85.9470479}",677.83,21.8643349,85.9470479,0
2520,"{'latitude': 20.4848415, 'longitude': 85.7429974}",443.585,20.4848415,85.7429974,0
2521,"{'latitude': 20.5123811, 'longitude': 82.4590037}",313.076,20.5123811,82.4590037,1
2522,"{'latitude': 20.6300086, 'longitude': 82.7635076}",497.223,20.6300086,82.7635076,1
2523,"{'latitude': 19.1761678, 'longitude': 83.5831}",301.778,19.1761678,83.5831,2
2524,"{'latitude': 19.384715, 'longitude': 82.986335}",712.555,19.384715,82.986335,2
2525,"{'latitude': 20.8189249, 'longitude': 86.2001929}",307.498,20.8189249,86.2001929,0
2526,"{'latitude': 18.364595, 'longitude': 81.892055}",1379.778,18.364595,81.892055,2
2527,"{'latitude': 21.4411318, 'longitude': 84.5099482}",524.0,21.4411318,84.5099482,1
2528,"{'latitude': 21.5036651, 'longitude': 86.9191926}",300.582,21.5036651,86.9191926,0
2529,"{'latitude': 20.562893, 'longitude': 82.6436693}",341.917,20.562893,82.6436693,1
2530,"{'latitude': 22.1230028, 'longitude': 84.042936}",391.0,22.1230028,84.042936,1
2531,"{'latitude': 20.3132104, 'longitude': 86.2552445}",321.0,20.3132104,86.2552445,0
2532,"{'latitude': 19.0492008, 'longitude': 82.5534012}",593.556,19.0492008,82.5534012,2
2533,"{'latitude': 20.9655623, 'longitude': 86.0805115}",321.419,20.9655623,86.0805115,0
2534,"{'latitude': 20.4050271, 'longitude': 82.5850269}",335.83,20.4050271,82.5850269,2
2535,"{'latitude': 20.940014, 'longitude': 85.7278962}",342.245,20.940014,85.7278962,0
2536,"{'latitude': 21.3405744, 'longitude': 83.5560866}",7551.0,21.3405744,83.5560866,1
2537,"{'latitude': 21.3286071, 'longitude': 86.5059531}",310.838,21.3286071,86.5059531,0
2538,"{'latitude': 20.771713599999998, 'longitude': 86.7373497}",400.249,20.771713599999998,86.7373497,0
2539,"{'latitude': 20.6654711, 'longitude': 85.2791466}",543.585,20.6654711,85.2791466,0
2540,"{'latitude': 20.403774, 'longitude': 86.2560634}",432.498,20.403774,86.2560634,0
2541,"{'latitude': 19.946058333333333, 'longitude': 81.86295}",444.222,19.946058333333333,81.86295,2
2542,"{'latitude': 21.437683333333332, 'longitude': 86.341405}",328.253,21.437683333333332,86.341405,0
2543,"{'latitude': 20.8391422, 'longitude': 84.3220445}",318.656,20.8391422,84.3220445,1
2544,"{'latitude': 21.1094579, 'longitude': 83.2579883}",301.0,21.1094579,83.2579883,1
2545,"{'latitude': 20.7925253, 'longitude': 82.6070562}",441.166,20.7925253,82.6070562,1
2546,"{'latitude': 20.20522, 'longitude': 82.92933}",849.111,20.20522,82.92933,2
2547,"{'latitude': 19.2497353, 'longitude': 83.4550018}",342.0,19.2497353,83.4550018,2
2548,"{'latitude': 21.74674, 'longitude': 86.6396797}",326.169,21.74674,86.6396797,0
2549,"{'latitude': 21.6517516, 'longitude': 86.8085366}",631.497,21.6517516,86.8085366,0
2550,"{'latitude': 22.2776962, 'longitude': 86.0700065}",454.332,22.2776962,86.0700065,0
2551,"{'latitude': 21.4403059, 'longitude': 86.3442401}",503.917,21.4403059,86.3442401,0
2552,"{'latitude': 20.6134352, 'longitude': 86.0607523}",340.589,20.6134352,86.0607523,0
2553,"{'latitude': 21.3375096, 'longitude': 83.6217256}",686.0,21.3375096,83.6217256,1
2554,"{'latitude': 21.5040872, 'longitude': 86.9196758}",874.083,21.5040872,86.9196758,0
2555,"{'latitude': 22.4429374, 'longitude': 86.0739125}",337.0,22.4429374,86.0739125,0
2556,"{'latitude': 18.8650678, 'longitude': 82.5731821}",319.652,18.8650678,82.5731821,2
2557,"{'latitude': 22.1812054, 'longitude': 86.6469196}",373.751,22.1812054,86.6469196,0
2558,"{'latitude': 19.589936666666667, 'longitude': 82.07164833333333}",319.334,19.589936666666667,82.07164833333333,2
2559,"{'latitude': 20.5889285, 'longitude': 82.9707425}",359.62,20.5889285,82.9707425,1
2560,"{'latitude': 22.1174045, 'longitude': 84.0599184}",670.581,22.1174045,84.0599184,1
2561,"{'latitude': 19.0480028, 'longitude': 82.5534343}",375.444,19.0480028,82.5534343,2
2562,"{'latitude': 20.9978959, 'longitude': 83.0612895}",574.965,20.9978959,83.0612895,1
2563,"{'latitude': 20.7925814, 'longitude': 84.3079565}",361.762,20.7925814,84.3079565,1
2564,"{'latitude': 21.8037065, 'longitude': 84.1756809}",301.0,21.8037065,84.1756809,1
2565,"{'latitude': 22.0542989, 'longitude': 84.2952887}",598.5,22.0542989,84.2952887,1
2566,"{'latitude': 19.340391666666665, 'longitude': 82.513255}",752.778,19.340391666666665,82.513255,2
2567,"{'latitude': 19.2306228, 'longitude': 82.5500077}",1037.778,19.2306228,82.5500077,2
2568,"{'latitude': 20.8780792, 'longitude': 86.0105746}",730.167,20.8780792,86.0105746,0
2569,"{'latitude': 21.3403456, 'longitude': 83.5559035}",1253.0,21.3403456,83.5559035,1
2570,"{'latitude': 20.6301534, 'longitude': 85.4742652}",340.0,20.6301534,85.4742652,0
2571,"{'latitude': 20.8076911, 'longitude': 82.5357604}",991.914,20.8076911,82.5357604,1
2572,"{'latitude': 21.5204445, 'longitude': 86.1565215}",411.328,21.5204445,86.1565215,0
2573,"{'latitude': 21.587223333333334, 'longitude': 86.94612666666667}",454.332,21.587223333333334,86.94612666666667,0
